Test name: 03252015_1DC_100OS_140MPa_02_19
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
91.05621 0.38731 0.19657
91.45985 0.38641 0.19709
91.88160 0.38535 0.19770
92.30697 0.38417 0.19839
92.71785 0.38315 0.19898
93.13234 0.38249 0.19936
93.54866 0.38172 0.19981
93.96315 0.38094 0.20026
94.37042 0.38025 0.20066
94.79579 0.37960 0.20104
95.22478 0.37882 0.20148
95.64651 0.37805 0.20193
96.05377 0.37703 0.20252
96.47550 0.37638 0.20290
96.91352 0.37580 0.20323
97.34613 0.37491 0.20375
97.78053 0.37401 0.20427
98.22038 0.37323 0.20472
98.65659 0.37262 0.20507
99.08920 0.37201 0.20543
99.53446 0.37144 0.20576
99.98335 0.37083 0.20611
100.43400 0.37060 0.20635
100.87200 0.36940 0.20692
101.31370 0.36890 0.20722
101.76260 0.36860 0.20737
102.20420 0.36790 0.20777
102.65310 0.36720 0.20819
103.09840 0.36600 0.20890
103.56180 0.36480 0.20959
103.99800 0.36380 0.21018
104.44690 0.36290 0.21070
104.89940 0.36180 0.21129
105.36820 0.36180 0.21134
105.82070 0.36100 0.21176
106.27680 0.35990 0.21240
106.75110 0.35890 0.21299
107.21810 0.35810 0.21344
107.69050 0.35740 0.21384
108.14300 0.35670 0.21429
108.64620 0.35610 0.21464
109.12220 0.35560  0.21488
109.59460 0.35500  0.21526
110.07430 0.35370  0.21599
110.56840 0.35280  0.21651
111.06260 0.35170  0.21715
111.55130 0.35110  0.21752
112.04720 0.35040  0.21793
112.55400 0.34970  0.21833
113.06080 0.34900  0.21873
113.56040 0.34810  0.21925
114.04550 0.34640  0.22022
114.54330 0.34520  0.22090
115.05550 0.34440  0.22138
115.56230 0.34360  0.22185
116.03840 0.34320  0.22206
116.54880 0.34250  0.22251
117.03750 0.34180  0.22289
117.52980 0.34110  0.22329
118.00950 0.34070  0.22355
118.48190 0.34010  0.22390
119.00140 0.34000  0.22395
119.51360 0.33930  0.22433
119.98790 0.33860  0.22475
120.46390 0.33810  0.22501
120.97800 0.33720  0.22558
121.44860 0.33660  0.22593
121.95180 0.33550  0.22653
122.45310 0.33490  0.22690
122.97260 0.33410  0.22738
123.46490 0.33340  0.22778
123.95910 0.33270  0.22816
124.45140 0.33240  0.22837
124.96000 0.33190  0.22863
125.46690 0.33110  0.22910
125.97550 0.33050  0.22943
126.49130 0.33010  0.22969
127.00720 0.32970  0.22990
127.50310 0.32910  0.23026
128.00820 0.32800  0.23092
128.53850 0.32750  0.23116
129.03990 0.32670  0.23163
129.55030 0.32600  0.23208
130.06620 0.32540  0.23238
130.57660 0.32490  0.23271
133.40210 0.32040  0.23529
133.96320 0.32160  0.23458
134.39760 0.31920  0.23600
134.97680 0.31840  0.23647
135.42930 0.31920  0.23600
135.95420 0.31670  0.23742
136.58770 0.31920  0.23600
137.07650 0.31840  0.23647
137.58330 0.31710  0.23718
138.12620 0.31470  0.23860
138.63310 0.31670  0.23742
